ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001624,HY191310,03/19/2015 10:00:00 AM,045XX S JUSTINE ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,false,false,0924,009,3,61,26,1166767,1874566,2015,02/10/2018 03:50:01 PM,41.811373959,-87.663827986,"(41.811373959, -87.663827986)"
10001625,HY191194,03/13/2015 08:00:00 PM,004XX E 134TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0533,005,9,54,08B,1181727,1816559,2015,02/10/2018 03:50:01 PM,41.651862993,-87.610742261,"(41.651862993, -87.610742261)"
10001626,HY191319,03/19/2015 04:00:00 PM,056XX S NASHVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0811,008,23,56,14,1133349,1866415,2015,02/10/2018 03:50:01 PM,41.789655182,-87.786595432,"(41.789655182, -87.786595432)"
10001627,HY191302,03/19/2015 10:53:00 PM,048XX W DRUMMOND PL,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,true,false,2521,025,31,19,16,1143760,1917193,2015,02/10/2018 03:50:01 PM,41.928808708,-87.747149544,"(41.928808708, -87.747149544)"
10001628,HY191296,03/19/2015 10:00:00 PM,060XX N ALBANY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,2413,024,50,2,07,1154589,1940301,2015,02/10/2018 03:50:01 PM,41.992008469,-87.70673531,"(41.992008469, -87.70673531)"
10001629,HY191278,03/19/2015 10:30:00 PM,064XX S STEWART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0722,007,20,68,08B,1174732,1862245,2015,02/10/2018 03:50:01 PM,41.777389879,-87.6349801,"(41.777389879, -87.6349801)"
10001631,HY191295,03/19/2015 09:00:00 PM,078XX S RACINE AVE,0810,THEFT,OVER $500,STREET,false,false,0612,006,17,71,06,1169677,1852985,2015,02/10/2018 03:50:01 PM,41.752090412,-87.653779875,"(41.752090412, -87.653779875)"
10001632,HY191314,03/19/2015 11:50:00 PM,031XX N RIDGEWAY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2523,025,35,21,08B,1150946,1920502,2015,02/10/2018 03:50:01 PM,41.937751033,-87.720656222,"(41.937751033, -87.720656222)"
10001633,HY191291,03/19/2015 10:55:00 PM,074XX S WESTERN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0835,008,18,66,26,1161657,1855500,2015,02/10/2018 03:50:01 PM,41.759162013,-87.683100073,"(41.759162013, -87.683100073)"
10001634,HY191317,03/19/2015 10:01:00 PM,051XX W 55TH ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0814,008,23,56,08B,1142940,1867661,2015,02/10/2018 03:50:01 PM,41.79290166,-87.751396529,"(41.79290166, -87.751396529)"
10001635,HY191299,03/19/2015 10:42:00 PM,023XX S SACRAMENTO AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1033,010,12,30,24,1156730,1888211,2015,02/10/2018 03:50:01 PM,41.849026177,-87.700274466,"(41.849026177, -87.700274466)"
